ts,slug,ad,token_sayi,mcap,liq,hacim,mcap_deg_m5,mcap_deg_h1,mcap_deg_h6,mcap_deg_h24
1789108929,cat,Cat,86,742015742,60151560.75,108716019.44,-0.11687979467350028,0.2096766424677562,-4.006114621011605,-4.872530611977368
1789108929,dog,Dog,69,1122854532,57099046.18,35358040.44,-0.22410926150826294,-2.0665475353888763,4.967413837549801,3.1635849943362713
1789108929,character,Character,36,2273887343,70793784.68,46615236.37,0.000764762335862949,0.4870091155002051,1.5290562735315907,-1.812942207908145
1789108929,trump,Trump,6,5971051935,59609116.12,12929883.22,0.008950300486857878,-0.07721730108954078,0.7452209485637975,0.22339148619204272
1789108929,meme-hall-of-fame,Meme Hall of Fame,59,4135197442,190102680.07,44148406.65,-0.004575996811145267,0.007458174848265726,0.38415338015190653,-4.1049713838755775
1789108929,chinese,Chinese,54,723537103,22123877.33,51469344.81,-0.12298014663173702,0.5852303817918353,3.3030673202384957,9.747566567719865
1789108929,degen,Degen,27,900556352,38005296.02,22639389.3,-0.140487408159181,-0.6114634519131363,-1.1133244959133053,-3.471306356467589
1789108929,celebrity,Celebrity,7,952898930,92159723.93,11362225.66,0.6650864273846309,1.0661033650011114,-1.4107608767866766,-12.83931262988076
1789108929,ai,AI,72,1801114412,70678648.49,14345975.68,0.019283693587745527,0.07240099184228795,1.286766321118595,-0.44228393063315685
1789108929,knockoff-legends,Knockoff Legends,36,4634784,1581741.9,331307.52,0.3756468460171219,0.6421189212493706,-3.251300898348523,-6.248874261070744
1789108929,slang,Slang,10,41988621,6062879.78,459277.44,-0.16634558937389995,0.17054432296505803,0.4428523469766237,-5.156898775428639
1789108929,brainrot,Brainrot,24,8986352,1453186,1915638.19,0.0516783673731009,5.11616131673491,-1.3461866058195737,1.4600473599461776
1789108929,internet-animals,Internet Animals,38,94630744,8012481.98,1902095.88,-0.06103768447134172,-0.41673238032065685,0.5677548868718616,-3.21034708178272
1789108929,elon-musk,Elon Musk,44,57881331,13766939.29,735434.36,0.03352186189829917,0.041889288128299444,0.11843922280413628,-1.473678729476829
1789108929,tiktok,TikTok,45,15403993,3030962.52,2169550.24,-0.06500173325284143,3.1716648000491285,-0.5328413761577157,-3.764353577439191
1789108929,nft,NFT,9,702234680,18501186.55,6582768.19,0.043282519018112954,0.3913623889054437,0.7714022416050275,-1.9867022463685409
1789108929,stonks,Stonks,14,458333666,14535912.73,1109209.92,-0.002599450866599759,-0.06455356700828031,1.0096045916161211,-2.3525092010826922
1789108929,x402,x402,18,147549203,3675486.66,1554655.82,0.15797860364452093,0.15452158337114322,1.318908611654726,0.9507768332278972
